VILLAGE NAME,VILLAGE PIN CODE,NUMBER OF TOTAL POPULATION,NUMBER OF MALE,NUMBER OF FEMALE,NUMBER OF TOTAL HOUSEHOLD,NUMBER OF HOUSEHOLDS ENGAGED MAJORLY IN FARM ACTIVITIES,NUMBER OF HOUSEHOLDS ENGAGED MAJORLY IN NON-FARM ACTIVITIES,"TOTAL CULTIVABLE AREA (IN HECTARES), IF IN ACRES DIVIDE BY 2.47",NUMBER OF FARMERS USING DRIP/SPRINKLER IRRIGATION ,"TOTAL AREA IRRIGATED (IN HECTARE), IF IN ACRES DIVIDE BY 2.47","TOTAL UNIRRIGATED LAND AREA (IN HECTARES), IF IN ACRES DIVIDE BY 2.47",NUMBER OF HOUSEHOLDS WITH KUCCHA WALL AND KUCCHA ROOF ,NUMBER OF HOUSEHOLDS WHO HAVE GOT A PMAY HOUSE (COMPLETED OR SANCTIONED),NUMBER OF HOUSEHOLDS WHO ARE IN THE PERMANENT WAIT LIST,NUMBER OF HOUSEHOLDS WHO GOT BENEFIT FROM ANY STATE SPECIFIC HOUSING SCHEME?,NUMBER OF HOUSEHOLDS WHO ARE IN THE PERMANENT WAIT LIST OF STATE SPECIFIC HOUSING SCHEME?,NUMBER  OF HOUSEHOLDS AVAILING THE BENEFITS UNDER SAUBHAGYA SCHEME,AVAILABILITY OF VOCATIONAL TRAINING CENTRE/POLYTECHNIC/ITI/RSETI /DDU-GKY,TOTAL NUMBER OF FARMERS ,NUMBER OF FARMERS RECEIVED THE SOIL TESTING REPORT,TOTAL APPROVED LABOUR BUDGET FOR THE YEAR 2018-19,NUMBER OF HOUSEHOLDS HAVING PIPED WATER CONNECTION ,Cluster
Payam,670704,15429,7425,8004,3667,1285,2301,2348.0,12,234.0,2004.0,0,25,181,19,0,3,131,2410,18,13595800.0,127,3
Vilamana,670706,14059,6944,7115,3206,1368,1783,2270.0,24,228.0,1904.0,0,11,121,33,0,3,76,2584,14,9063865.0,157,3
Chowwara (CT),683580,15098,7446,7652,3619,772,2124,655.0,11,351.0,47.0,0,10,0,39,10,2328,36,4702,22,13088500.0,1018,4
Thekkumbhagom (CT),683580,10610,5308,5302,2527,444,1421,498.0,8,255.0,33.0,0,8,0,30,8,1682,26,3872,20,9873781.0,752,4
Kalady (CT),683574,14323,7085,7238,3593,407,1390,265.0,7,181.0,63.0,0,2,0,16,4,7,4,2843,20,50500000.0,2499,3
Mattoor (CT),683574,13956,6894,7062,3495,540,1389,651.0,10,449.0,192.0,0,3,0,20,6,9,3,2710,19,98030000.0,2483,3
Malayattoor,683587,14494,7215,7279,3681,2480,1201,1600.0,18,980.0,620.0,3,4,19,1,1,130,32,2850,185,17063440.0,690,3
Kalady (CT),683574,10991,5429,5562,2779,2065,714,265.0,11,156.0,109.0,0,4,5,0,1,85,47,2247,110,15167499.0,445,3
Nedumbassery (CT),683589,31304,15502,15802,7956,949,3031,1415.0,75,954.0,180.0,20,0,8,48,46,2,4,2023,196,17948330.0,3943,1
Vadakkumbhagom (CT),683575,13159,6332,6827,3229,435,1201,331.0,5,224.0,68.0,0,0,0,20,70,6,10,2936,38,30657250.0,2241,3
Kizhakkumbhagom (CT),683575,9382,4640,4742,2353,380,831,451.0,3,251.0,165.0,0,0,0,18,99,4,1,2451,35,36902550.0,1801,3
